Estado ,num_museos ,pobtot,habxm,habxm2,habxm3
Aguascalientes,16,1184996,74062,0.741,1.35
Baja California,26,3155070,121349,1.213,0.824
Baja California Sur,10,637026,63703,0.637,1.57
Campeche,18,822441,45691,0.457,2.189
Coahuila,66,2748391,41642,0.416,2.401
Colima ,18,650555,36142,0.361,2.767
Chiapas,49,4796580,97889,0.979,1.022
Chihuahua,52,3406465,65509,0.655,1.527
CDMX,162,8851080,54636,0.546,1.83
Durango,48,1632934,34019,0.34,2.939
Guanajuato,61,5486372,89941,0.899,1.112
Guerrero,35,3388768,96822,0.968,1.033
Hidalgo,40,2665018,66625,0.666,1.501
Jalisco,94,7350682,78199,0.782,1.279
Edo. Mex,81,15175862,187356,1.874,0.534
Michoacan,49,4351037,88797,0.888,1.126
Morelos,42,1777227,42315,0.423,2.363
Nayarit,11,1084979,98634,0.986,1.014
Nuevo Leon,47,4653458,99010,0.99,1.01
Oaxaca,53,3801962,71735,0.717,1.394
Puebla,76,5779829,76050,0.761,1.315
Queretaro,43,1827937,42510,0.425,2.352
Quintana Roo,20,1325578,66279,0.663,1.509
San Luis Potosi,32,2585518,80797,0.808,1.238
Sinaloa,27,2767761,102510,1.025,0.976
Sonora,30,2662480,88749,0.887,1.127
Tabasco,20,2238603,111930,1.119,0.893
Tamaulipas,24,3268554,136190,1.362,0.734
Tlaxcala,24,1169936,48747,0.487,2.051
Veracruz ,57,7643194,134091,1.341,0.746
Yucatan,32,1955577,61112,0.611,1.636
Zacatecas,41,1490668,36358,0.364,2.75
