nom_mun,cantidad_museos,pobtot,habxm,habxm2,habxm3,nom_ent,,
Cuahutemoc,85,531831,6257,0.063,15.983,CDMX,0.000159825,0.000159825
Puebla,32,1434062,44814,0.448,2.231,Puebla,2.23142E-05,2.23142E-05
Toluca,24,489333,20389,0.204,4.905,Edo. Mex,4.90464E-05,4.90464E-05
Saltillo,24,709671,29570,0.296,3.382,Coahuila,3.38185E-05,3.38185E-05
Miguel Hidalgo,22,372889,16950,0.169,5.9,CDMX,5.89988E-05,5.89988E-05
Guadalajara,22,1495182,67963,0.68,1.471,Jalisco,1.47139E-05,1.47139E-05
Monterrey,21,1135512,54072,0.541,1.849,Nuevo Leon,1.84939E-05,1.84939E-05
Guanajuato,20,72237,3612,0.036,27.687,Guanajuato,0.000276866,0.000276866
San Luis Potosi,17,722772,42516,0.425,2.352,San Luis Potosi,2.35206E-05,2.35206E-05
Merida,17,777615,45742,0.457,2.186,Yucatan,2.18617E-05,2.18617E-05
